"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Krzczonów","lubelski/lubelskie","","","wieś","k"
"","Krzyżowa Wola","lubelski/lubelskie","Olszanka","","wieś","k"
"","Piotrków","lubelski/lubelskie","","","wieś","k"
"","Wola Giełczewska","lubelski/lubelskie","Sobieska Wola","","wieś","s"
"","Żuków","lubelski/lubelskie","","","wieś","k"
"","Giełczew","lubelski/lubelskie","","","wieś","s"
"","Stok","lubelski/lubelskie","","","wieś","s"
"","Gumki-Milan","ostrołęcki/mazowieckie","Gumki","","wieś","s"
"","Barcińska Wieś","bydgoski/inowrocławskie","","","",""
"","Klementowice","lubelski/lubelskie","","","wieś","s"
"","Kupiski","łomżyński/mazowieckie","Kupiski Stare","","wieś","k"
"","Bożenica","łomżyński/mazowieckie","","","młyn","k"
"","Łomżyca","łomżyński/mazowieckie","","","wieś","kd"
"","Konarzyce","łomżyński/mazowieckie","","","wieś","k"
"","Łomża","łomżyński/mazowieckie","","","miasto","k"
"","Stara Łomża","łomżyński/mazowieckie","Łomża Stara","","wieś","ks"
"","Giełczyno","łomżyński/mazowieckie","Giełczyn","","wieś","k"
"","Siemień","łomżyński/mazowieckie","Siemień Nadrzeczny","","wieś","ks"
"","Podgórze","łomżyński/mazowieckie","","","wieś","k"
"","Stylągi","ostrołęcki/mazowieckie","","","wieś","s"
"","Kraska","łomżyński/mazowieckie","","","młyn","k"
"","Branwica","lubelski/lubelskie","Branewka","","wieś","s"
"","Chrzanów","lubelski/lubelskie","","","wieś","s"
"","Łada","lubelski/lubelskie","","","wieś","s"
"","Malinie","lubelski/lubelskie","","","wieś","s"
"","Radzięcin","lubelski/lubelskie","","","wieś","s"
"","Ruda Kąty","lubelski/lubelskie","Karolówka","","kuźnica","s"
"","Wola Radzięcka","lubelski/lubelskie","","","wieś","s"
"","Goraj","lubelski/lubelskie","Goraj","","miasto","s"
"","Branew","lubelski/lubelskie","","","wieś","s"
"","Trojany*","ostrołęcki/mazowieckie","","","wieś","s"
"","Trzcianka","kamieniecki/mazowieckie","","","wieś","d"
"","Poręba","kamieniecki/mazowieckie","Poręba Średnia","","wieś","d"
"","Tuchlino","kamieniecki/mazowieckie","Tuchlin","","wieś","d"
"","Udrzyno","kamieniecki/mazowieckie","Udrzyn","","wieś","d"
"","Brańsk","kamieniecki/mazowieckie","Brańszczyk","","wieś","d"
"","Turzyno","kamieniecki/mazowieckie","Turzyn","","wieś","d"
"","Niemiery","kamieniecki/mazowieckie","Niemiry","","wieś","d"
"","Bratnicka Wola","lubelski/lubelskie","Bratnik","","wieś","s"
"","Ciecierzyn","lubelski/lubelskie","","","wieś","s"
"","Dąbrówka","lubelski/lubelskie","","","wieś","s"
"","Łady-Mancz","ostrołęcki/mazowieckie","Łady-Mans","","wieś","s"
"","Dłotlice","lubelski/lubelskie","","","wieś","s"
"","Jakubowice","lubelski/lubelskie","","","wieś","s"
"","Nasutów","lubelski/lubelskie","","","wieś","s"
"","Rudka","lubelski/lubelskie","Rudka Kozłowska","","wieś","s"
"","Stoczek","lubelski/lubelskie","","","wieś","s"
"","Dys","lubelski/lubelskie","","","wieś","s"
"","Chmielowice","chęciński/sandomierskie","","","wieś","s"
"","Obice","chęciński/sandomierskie","","","wieś","s"
"","Lisów","chęciński/sandomierskie","","","wieś","s"
"","Zaborze","chęciński/sandomierskie","","","wieś","s"
