id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Plocicz_nkl_kls,Płocicz,Płocicz,wieś,d,nakielski,kaliskie,duża,53.5015386154324233,17.5064076322963693
Rokow_sls_krk,,Roków,wieś,s,śląski,krakowskie,mała,49.9002740830000349,19.5225194089999974
Rojkow_szd_srd,,Rojków,wieś,s,szadkowski,sieradzkie,mała,51.5429886950000693,18.9652399300000951
Chudzewo_dbr_dbr,Chudzewo,Chudzewa,wieś,s,dobrzyński,ziemia dobrzyńska,mała,52.6888087167740196,19.3696088533433901
Plonczyn_dbr_dbr,Płonczyn,Płonczyno,wieś,s,dobrzyński,ziemia dobrzyńska,mała,52.6988833124872897,19.3123927531605588
Niwino_Borowe_blk_pdl,Niewino Borowe,Niwino-Borowe,wieś,s,bielski,podlaskie,mała,52.8115719104712156,23.0274313254311274
Bialasy_rpn_dbr,Białasy,Paprotki-Bielasy,wieś,s,rypiński,ziemia dobrzyńska,mała,52.9174830307942159,19.644616803308967
Brzezie_sdl_pzd_kls,Brzeźno,Brzezie,wieś,s,pyzdrski,kaliskie,mała,52.3769184127018761,17.3447245208164205
Zlotki_drh_pdl,Złotki,Złotki,wieś,s,drohicki,podlaskie,mała,52.64036427115078,21.98424065693602
Leszczyny_raw_raw,,Leszczyny,wieś,s,rawski,rawskie,mała,51.7876435420000476,19.9113281610001067
Romany_Karcze_prz_maz,,Romany-Karcze,wieś,s,przasnyski,mazowieckie,mała,53.1794242530000432,20.8333977380001123
Rojowka_sdc_krk,Skrzętla Rojówka - część,Rojówka,wieś,s,sądecki,krakowskie,mała,49.7079144160000226,20.6041212300000218
Choczicza_Maius_pzd_kls,Chocicza Wielka,Chocica Wielka,wieś,s,pyzdrski,kaliskie,mała,52.3124726091075871,17.5165521365724182
Wysokie_Male_snd_snd,Wysoki Małe,Wysokie Małe,wieś,s,sandomierski,sandomierskie,mała,50.6533362800000901,21.3181535450002677
