id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
12856,Krasne,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 200; Kołbuk 1998, s. 269.",rus,6,3721,"[23.17708588409249, 48.93247669703601]"
13015,Trzcianne,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 307.",podl,1,9311,"[22.682127339930673, 53.33989947170119]"
13016,Goniądz,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 307.",podl,1,9250,"[22.738442600320354, 53.48225450560142]"
13018,Dolistowo Stare,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 307 (Dolistowo).",podl,1,9245,"[22.906840000096963, 53.545837448113275]"
13070,Barczewo,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 409.",war,1,21667,"[20.68105414021761, 53.82867692069692]"
13071,Barczewo,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 495 (malb).",war,1,13903,"[20.692144352853802, 53.82994834710837]"
13072,Lamkowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 409.",war,1,21629,"[20.67998094506578, 53.91257987179097]"
13074,Radostowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 411.",war,1,21649,"[20.605968174674388, 53.97900362510455]"
13075,Jeziorany,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 411.",war,1,21617,"[20.743313616149408, 53.97360181046338]"
13078,Barczewko,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 409.",war,1,21593,"[20.58504950540373, 53.84393170839047]"
13081,Głotowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 410.",war,1,21612,"[20.353352432467375, 53.95580323914862]"
13087,Wrzesina,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 413.",war,1,21665,"[20.25730537573412, 53.79085676552694]"
13088,Kamieniec Podolski,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 367.",pod,1,10474,"[26.587983112043787, 48.683162529675144]"
13089,Kamieniec Podolski,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 519.",pod,1,22684,"[26.58145466633448, 48.70756102391482]"
13090,Kawki,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 410 (Kawkowo).",war,1,21619,"[20.19133606962697, 53.857916464521]"
13091,Kamieniec Podolski,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 367.",pod,1,10426,"[26.57743716010657, 48.673135750949484]"
13092,Gietrzwałd,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 412.",war,1,21611,"[20.240362084850233, 53.74073529513299]"
13093,Skała,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 367.",pod,1,10448,"[26.202302587906672, 48.84827014741535]"
13392,Grzęda,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21614,"[21.006304283525424, 54.11409788547451]"
13393,Chwalęcin,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21680,"[20.02685768053101, 54.162213650107105]"
13394,Bażyny,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21669,"[20.049963593607117, 54.135834470144346]"
13395,Pieniężno,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21700,"[20.141057556922362, 54.23015090843671]"
13396,Piotrowiec,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21644,"[20.10717876957864, 54.300780925779634]"
13397,Lubomino,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 413.",war,1,21633,"[20.242513400740563, 54.068138371312216]"
13398,Orneta,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 413.",war,1,21638,"[20.138536794146432, 54.11612853213359]"
13399,Mingajny,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21636,"[20.277172268106426, 54.203211201737474]"
13400,Korben,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 413.",war,1,21688,"[20.18859906756711, 54.090068722107844]"
13401,Krosno,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 413.",war,1,21689,"[20.18474862029865, 54.13710543250568]"
13402,Kłębowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 412.",war,1,21623,"[20.60560631267083, 54.07544848704498]"
13403,Kiwity,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 412.",war,1,21620,"[20.757994768588617, 54.09483412611911]"
13404,Unikowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 415.",war,1,21660,"[21.000012121189457, 54.044937988054244]"
13405,Babiak,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 414.",war,1,21592,"[20.365194255288202, 54.16793343713891]"
13406,Żegoty,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 411.",war,1,21666,"[20.695233595070874, 54.02459889855652]"
13435,Błudowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 411.",war,1,21600,"[19.692327229956106, 54.23308668854406]"
13438,Kadyny,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 496.",malb,1,14505,"[19.49377127007301, 54.29887495033478]"
