"","id","name","type","relig_type","dist","lp_w","lp_o","cdnts","nl"
"63",4791,"Konstantynów Nowy","miasto","świątynia główna","pod",4,10139,"[27.749590724061022, 49.48551320334184]","konstantynow_nowy"
"64",12143,"Szarawka","miasto","świątynia główna","pod",4,2364,"[26.980121608318086, 49.21399276239487]","szarawka"
"65",12395,"Lisianka","miasto","świątynia główna","kij",4,23407,"[30.819233966699585, 49.26465571728056]","lisianka"
"66",4946,"Tyśmienica","miasto","świątynia główna","rus",4,2067,"[24.835559197425482, 48.90317304054446]","tysmienica"
"67",5017,"Pistyń","miasto","świątynia główna","rus",4,2690,"[25.02843534963756, 48.359117348384245]","pistyn"
"68",12976,"Berszada","miasto","świątynia główna","brac",4,18322,"[29.51066456527076, 48.36534179986529]","berszada"
"69",13331,"Wałcz","miasto","świątynia główna","poz",4,2424,"[16.466296083558177, 53.27293642194627]","walcz"
"70",13547,"Stobychwa","miasto","świątynia główna","woł",4,22650,"[25.175870954954235, 51.38982670825715]","stobychwa"
"71",13853,"Łęczyca","miasto","świątynia główna","łęcz",4,2264,"[19.185113235094605, 52.060208654112785]","leczyca"
"72",8014,"Konin","miasto","świątynia główna","kal",4,24465,"[18.26118309487839, 52.19933106148892]","konin"
"73",9073,"Trościaniec","miasto","świątynia główna","brac",4,23288,"[29.240264434956714, 48.5155348857038]","troscianiec"
"74",14966,"Jaruga","miasto","świątynia główna","pod",4,9876,"[28.042435468084022, 48.32770924237127]","jaruga"
"75",27,"Nawarja","miasto","świątynia główna","rus",4,2013,"[23.93398958071117, 49.74244324423421]","nawarja"
"76",212,"Bircza","miasto","świątynia główna","rus",4,1934,"[22.4799927762449, 49.68274381796118]","bircza"
"77",10266,"Miłosław","miasto","świątynia główna","kal",4,2159,"[17.48410999194317, 52.207222565531254]","miloslaw"
"78",12766,"Kaniów","miasto","świątynia główna","kij",4,23405,"[31.504289053833816, 49.726982198831934]","kaniow"
"79",11384,"Ropczyce","miasto","świątynia główna","san",4,22483,"[21.609412725168855, 50.051892113185666]","ropczyce"
"80",9895,"Koźminek","miasto","świątynia główna","kal",4,24460,"[18.33972256942934, 51.79445964286583]","kozminek"
"81",2864,"Czudec","miasto","świątynia główna","san",4,2445,"[21.838794618622966, 49.94640651875482]","czudec"
"82",7352,"Kryłów","miasto","świątynia główna","kij",4,24396,"[33.10780232572, 49.09871866202735]","krylow"
"83",3326,"Żarnowiec","miasto","świątynia główna","kr",4,2605,"[19.86455192570535, 50.48627668132873]","zarnowiec"
"84",12581,"Lityn","miasto","świątynia główna","brac",4,23267,"[28.073779432651236, 49.33365681601424]","lityn"
"85",2866,"Strzyżów","miasto","świątynia główna","san",4,2499,"[21.786575195935693, 49.86927377823435]","strzyzow"
"86",3393,"Staszów","miasto","świątynia główna","san",4,2494,"[21.165141350864367, 50.56401717118679]","staszow"
"87",3436,"Stopnica","miasto","świątynia główna","san",4,2497,"[20.94368593669475, 50.43955378298019]","stopnica"
"88",3584,"Rybotycze","miasto","świątynia główna","rus",4,2028,"[22.644083558860842, 49.65555471184568]","rybotycze"
"89",3589,"Szamotuły","miasto","świątynia główna","poz",4,2404,"[16.578960038984214, 52.613591763190634]","szamotuly"
"90",3595,"Zwoleń","miasto","świątynia główna","san",4,2513,"[21.575390964007852, 51.358817064855714]","zwolen"
"91",3792,"Nowy Korczyn","miasto","świątynia pomocnicza","san",4,2458,"[20.81114393148105, 50.298128411934464]","nowy_korczyn"
"92",3802,"Pińczów","miasto","świątynia pomocnicza","san",4,2480,"[20.526411828035517, 50.51892169532475]","pinczow"
"93",3811,"Tarłów","miasto","świątynia główna","san",4,2444,"[21.71323904542838, 51.0009790136628]","tarlow"
"94",5513,"Bracław","miasto","świątynia główna","brac",4,18420,"[28.925089428718763, 48.82228428414351]","braclaw"
"95",6001,"Dobra","miasto","świątynia główna","sier",4,2517,"[18.630270679712567, 51.91485401522078]","dobra"
"96",7136,"Sobków","miasto","świątynia główna","san",4,2512,"[20.450622175152233, 50.69934555668776]","sobkow"
"97",7180,"Janów","miasto","świątynia główna","kr",4,2566,"[19.436565474846766, 50.7241257498679]","janow"
"98",7192,"Ożarów","miasto","świątynia główna","san",4,2475,"[21.6668804063832, 50.88823304537955]","ozarow"
"99",7209,"Klimontów","miasto","świątynia główna","san",4,2455,"[21.451896015723854, 50.655957648404936]","klimontow"
"100",7388,"Chełm","miasto","świątynia główna","rus",4,2675,"[23.474799012591987, 51.13321462718145]","chelm"
"101",7390,"Turobin","miasto","świątynia główna","rus",4,2700,"[22.750898693413866, 50.82362518788124]","turobin"
"102",7398,"Zamość","miasto","świątynia główna","rus",4,2080,"[23.254257985168177, 50.71809340568052]","zamosc"
"103",7401,"Tomaszów Lubelski","miasto","świątynia główna","beł",4,6388,"[23.41752904734553, 50.45268168983877]","tomaszow_lubelski"
"104",7404,"Grodzisk","miasto","świątynia główna","poz",4,2379,"[16.38118309647234, 52.223495134851134]","grodzisk"
"105",7407,"Modliborzyce","miasto","świątynia główna","lub",4,2226,"[22.330642228397263, 50.75450393389164]","modliborzyce"
"106",7424,"Żydowo","miasto","świątynia główna","gn",4,24471,"[17.58561133204392, 52.454398819621275]","zydowo"
"107",7441,"Oświęcim","miasto","świątynia główna","kr",4,2584,"[19.219981780572358, 50.038913400222214]","oswiecim"
"108",7490,"Jarczów","miasto","świątynia główna","beł",4,6365,"[23.592654075453765, 50.424459410715485]","jarczow"
"109",7548,"Dębica","miasto","świątynia główna","san",4,2447,"[21.42761193558137, 50.046266506996346]","debica"
"110",7559,"Tarnów","miasto","świątynia główna","san",4,2504,"[20.989675120211068, 50.013328294154114]","tarnow"
"111",7562,"Dąbrowa","miasto","świątynia główna","san",4,2446,"[20.988243976445563, 50.17574235798659]","dabrowa"
"112",7569,"Kazimierz","miasto","świątynia główna","kr",4,2568,"[19.948571509843195, 50.051406733654666]","kazimierz"
"113",7580,"Nowy Korczyn","miasto","świątynia główna","san",4,2459,"[20.811517026860084, 50.297773944150464]","nowy_korczyn"
