table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,krk_kzmrz,1726,4150,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1727,4330,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1728,6390,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1729,6713,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1731,7135,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1732,4758,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1733,1803,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1734,1803,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1735,6223,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1736,3668,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1737,3819,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1738,3929,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1739,3819,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1741,4760,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1742,4400,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1743,4413,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1744,4161,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1745,4493,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1746,4493,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1747,4493,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1748,5693,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1749,4488,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1751,5430,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1752,5174,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1753,4456,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1754,4973,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1755,5164,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1756,4562,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1758,3904,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1760,3732,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1761,3675,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1762,1033,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1763,2375,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,lbl_lbln,1723,228,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1724,221,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1725,2322,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1726,1708,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1727,2468,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1728,2614,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1729,3221,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1731,1154,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1732,1443,30,0,2196,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1733,1773,30,0,1100,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1734,1066,30,0,1100,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
