table,name,viv,normalized_name,index,kalik_id
1203,pomorzany,lww,pmrzny,lww_pmrzny,338
1203,przemysliany,lww,przmyslny,lww_przmyslny,339
1203,rozdol,lww,rzdl,lww_rzdl,340
1203,rozniatow,lww,rzntw,lww_rzntw,341
1203,sasow,lww,ssw,lww_ssw,342
1203,sokolow,lww,sklw,lww_sklw,343
1203,sokolowka,lww,sklwk,lww_sklwk,344
1203,stanislawczyk,lww,stnslwczyk,lww_stnslwczyk,345
1203,strzeliska,lww,strzlsk,lww_strzlsk,346
1203,swierz,lww,swrz,lww_swrz,347
1203,szczerzec,lww,szczrzc,lww_szczrzc,348
1203,winniki,lww,wnnk,lww_wnnk,349
1203,zborow,lww,zbrw,lww_zbrw,350
1203,zloczow,lww,zlczw,lww_zlczw,351
1203,narajow,lww,nrjw,lww_nrjw,352
1203,bobrka,lww,bbrk,lww_bbrk,353
1203,wybranowka,lww,wybrnwk,lww_wybrnwk,354
1203,zurow,lww,zurw,lww_zrw,355
1203,zydaczow,lww,zydczw,lww_zydczw,356
1203,zolkiew,lww,zlkw,lww_zlkw,357
1203,zurawno,lww,zurwn,lww_zrwn,358
1300,biercza,prz,brcz,prz_brcz,359
1300,fredropol,prz,frdrpl,prz_frdrpl,360
1300,krukienice,prz,kruknc,prz_krknc,361
1300,rybotycze,prz,rybtycz,prz_rybtycz,362
1300,sambor,prz,smbr,prz_smbr,363
1300,stanislawow,prz,stnslww,prz_stnslww,364
1300,starosol,prz,strsl,prz_strsl,365
1300,stary_sambor,prz,stry_smbr,prz_stry_smbr,366
1300,uszkow,prz,uszkw,prz_szkw,367
1300,laszki,prz,lszk,prz_lszk,368
1300,nowomiasto_bybel,prz,nwmst_bybl,prz_nwmst_bybl,369
1401,dubno,wol,dubn,wol_dbn,370
1401,kamien_korzecki,wol,kmn_krzck,wol_kmn_krzck,371
1401,kowel,wol,kwl,wol_kwl,372
1401,michnowka,wol,mchnwk,wol_mchnwk,373
1401,miedzyrzecz_korecki,wol,mdzyrzcz_krck,wol_mdzyrzcz_krck,374
1401,milianowiec,wol,mlnwc,wol_mlnwc,375
1401,niesuchojeze,wol,nsuchjz,wol_nschjz,376
1401,olyka,wol,lyk,wol_lyk,377
1401,wyzwa,wol,wyzw,wol_wyzw,378
1401,warkowicze,wol,wrkwcz,wol_wrkwcz,379
1402,bazalia,wol,bzl,wol_bzl,380
1402,jampol,wol,jmpl,wol_jmpl,381
1402,kornica,wol,krnc,wol_krnc,382
1402,kozin,wol,kzn,wol_kzn,383
1402,krzemieniec,wol,krzmnc,wol_krzmnc,384
1402,lachowce,wol,lchwc,wol_lchwc,385
1402,lanowce,wol,lnwc,wol_lnwc,386
1402,oleksyniec,wol,lksync,wol_lksync,387
1402,oleszyce,wol,lszyc,wol_lszyc,388
1402,ozochowce,wol,zchwc,wol_zchwc,389
1402,ptycze,wol,ptycz,wol_ptycz,390
1402,perniatyn,wol,prntyn,wol_prntyn,391
1402,radziwilow,wol,rdzwlw,wol_rdzwlw,392
1402,rochmanow,wol,rchmnw,wol_rchmnw,393
1402,szumsk,wol,szumsk,wol_szmsk,394
1402,tofipol,wol,tfpl,wol_tfpl,395
1402,testuchow,wol,tstuchw,wol_tstchw,396
1402,werba,wol,wrb,wol_wrb,397
1402,wisniowiec,wol,wsnwc,wol_wsnwc,398
1402,woloczysko,wol,wlczysk,wol_wlczysk,399
1402,wyzgrodek,wol,wyzgrdk,wol_wyzgrdk,400
1402,zabikryk,wol,zbkryk,wol_zbkryk,401
1402,zbaraz,wol,zbrz,wol_zbrz,402
1402,czarnoostrow,pod,czrnstrw,pod_czrnstrw,403
1402,izumsk,wol,zumsk,wol_zmsk,404
1402,labun,wol,lbun,wol_lbn,405
1402,horynka,wol,hrynk,wol_hrynk,406
1402,klucz,wol,klucz,wol_klcz,407
1402,krupiec,wol,krupc,wol_krpc,408
1403,borowce,wol,brwc,wol_brwc,409
1403,czartorysk,wol,czrtrysk,wol_czrtrysk,410
1403,czetwertnie,wol,cztwrtn,wol_cztwrtn,411
1403,derewicz,wol,drwcz,wol_drwcz,412
1403,grodek,wol,grdk,wol_grdk,413
1403,janowka,wol,jnwk,wol_jnwk,414
1403,kaszowka,wol,kszwk,wol_kszwk,415
1403,kilikiew,wol,klkw,wol_klkw,416
1403,klewan,wol,klwn,wol_klwn,417
1403,kolki,wol,klk,wol_klk,418
1403,krasnostaw,wol,krsnstw,wol_krsnstw,419
1403,leszniowek,wol,lsznwk,wol_lsznwk,420
1403,morawica,wol,mrwc,wol_mrwc,421
1403,okonsk,wol,knsk,wol_knsk,422
1403,ostrozec,wol,strzc,wol_strzc,423
1403,rafalowka,wol,rflwk,wol_rflwk,424
1403,targowica,wol,trgwc,wol_trgwc,425
1403,trojanowka,wol,trjnwk,wol_trjnwk,426
1403,wisienki,wol,wsnk,wol_wsnk,427
1403,luck,wol,luck,wol_lck,428
1403,mielnica,wol,mlnc,wol_mlnc,429
1403,zurawno,wol,zurwn,wol_zrwn,430
1404,dziunkow,brc,dzunkw,brc_dznkw,431
1404,lipowiec,brc,lpwc,brc_lpwc,432
1404,pikow,brc,pkw,brc_pkw,433
1404,strzyzawka,brc,strzyzwk,brc_strzyzwk,434
1404,tetyjow,brc,ttyjw,brc_ttyjw,435
1404,ulanow,pod,ulnw,pod_lnw,436
1404,winnica,brc,wnnc,brc_wnnc,437
1404,zywotow,brc,zywtw,brc_zywtw,438
1405,berdyczow,kij,brdyczw,kij_brdyczw,439
1405,bialocerkiew,kij,blcrkw,kij_blcrkw,440
1405,bialopole,kij,blpl,kij_blpl,441
1405,bilylowka,kij,blylwk,kij_blylwk,442
1405,biylowka,kij,bylwk,kij_bylwk,443
1405,bohuslaw,kij,bhuslw,kij_bhslw,444
1405,borodianka,kij,brdnk,kij_brdnk,445
1405,borowica,kij,brwc,kij_brwc,446
1405,borszczejowka,kij,brszczjwk,kij_brszczjwk,447
1405,brusylow,kij,brusylw,kij_brsylw,448
1405,buzyn,kij,buzyn,kij_bzyn,449
1405,bystryk,kij,bystryk,kij_bystryk,450
1405,byszow,kij,byszw,kij_byszw,451
1405,chabnoje,kij,chbnj,kij_chbnj,452
1405,chodarkow,kij,chdrkw,kij_chdrkw,453
1405,cudnow,kij,cudnw,kij_cdnw,454
1405,czajkowka,kij,czjkwk,kij_czjkwk,455
1405,czehryn,kij,czhryn,kij_czhryn,456
1405,czerkasy,kij,czrksy,kij_czrksy,457
1405,czerniechow,kij,czrnchw,kij_czrnchw,458
1405,czerwone,kij,czrwn,kij_czrwn,459
1405,dolbysz,kij,dlbysz,kij_dlbysz,460
1405,fastow,kij,fstw,kij_fstw,461
1405,hermanowka,kij,hrmnwk,kij_hrmnwk,462
1405,hornostajpol,kij,hrnstjpl,kij_hrnstjpl,463
1405,horodyszcze,kij,hrdyszcz,kij_hrdyszcz,464
