table,index,year,value,villages,near,is_sum
1000,pod_chmlnk,1743,558,0,0,0
1000,pod_chmlnk,1744,1082,0,0,0
1000,pod_chmlnk,1745,756,0,0,0
1000,pod_chmlnk,1746,970,0,0,0
1000,pod_chmlnk,1747,1040,0,0,0
1000,pod_chmlnk,1748,340,0,0,0
1000,pod_chmlnk,1754,1008,0,0,0
1000,pod_chmlnk,1755,1050,0,0,0
1000,pod_chmlnk,1757,1100,0,0,0
1000,pod_chmlnk,1758,1100,0,0,0
1000,pod_chmlnk,1760,1189,0,0,0
1000,pod_chmlnk,1761,1258,0,0,0
1000,pod_chmlnk,1762,1358,0,0,0
1000,pod_chmlnk,1763,1300,0,0,0
1000,pod_chmlnk,1764,1482,0,0,0
1000,pod_czrnstrw,1724,237,0,0,0
1000,pod_czrnstrw,1727,280,0,0,0
1000,pod_czrnstrw,1728,280,0,0,0
1000,pod_czrnstrw,1736,150,0,0,0
1000,brc_cznjwc,1764,150,0,0,0
1000,pod_czrcz,1738,135,0,0,0
1000,pod_czrcz,1741,155,0,0,0
1000,pod_czrcz,1743,400,0,0,0
1000,pod_czrcz,1744,400,0,0,0
1000,pod_czrcz,1745,400,0,0,0
1000,pod_czrcz,1746,484,0,0,0
1000,pod_czrcz,1747,390,0,0,0
1000,pod_czrcz,1748,332,0,0,0
1000,pod_czrcz,1749,340,0,0,0
1000,pod_czrcz,1752,270,0,0,0
1000,pod_czrcz,1764,260,0,0,0
1000,pod_czrwngrd,1733,261,0,0,0
1000,pod_czrwngrd,1734,275,0,0,0
1000,pod_czrwngrd,1736,275,0,0,0
1000,pod_czrwngrd,1737,234,0,0,0
1000,pod_czrwngrd,1738,300,0,0,0
1000,pod_czrwngrd,1741,230,0,0,0
1000,pod_czrwngrd,1751,280,0,0,0
1000,pod_czrwngrd,1752,332,0,0,0
1000,pod_czrwngrd,1753,340,0,0,0
1000,pod_czrwngrd,1754,330,0,0,0
1000,pod_czrwngrd,1755,335,0,0,0
1000,pod_czrwngrd,1757,300,0,0,0
1000,pod_czrwngrd,1758,290,0,0,0
1000,pod_czrwngrd,1760,325,0,0,0
1000,pod_drzn,1720,90,0,0,0
1000,pod_drzn,1722,125,0,0,0
1000,pod_drzn,1724,135,0,0,0
1000,pod_drzn,1728,160,0,0,0
1000,pod_drzn,1729,160,0,0,0
1000,pod_drzn,1731,111,0,0,0
1000,pod_drzn,1732,130,0,0,0
1000,pod_drzn,1733,180,0,0,0
1000,pod_drzn,1734,120,0,0,0
1000,pod_drzn,1736,120,0,0,0
1000,pod_drzn,1737,234,0,0,0
1000,pod_drzn,1738,270,0,0,0
1000,pod_drzn,1741,366,0,0,0
1000,pod_drzn,1743,530,0,0,0
1000,pod_drzn,1744,503,0,0,0
1000,pod_drzn,1746,160,0,0,0
1000,pod_drzn,1748,530,0,0,0
1000,pod_drzn,1749,540,0,0,0
1000,pod_drzn,1753,660,0,0,0
1000,pod_drzn,1754,605,0,0,0
1000,pod_drzn,1755,610,0,0,0
1000,pod_drzn,1757,538,0,0,0
1000,pod_drzn,1758,538,0,0,0
1000,pod_drzn,1761,504,0,0,0
1000,pod_drzn,1762,520,0,0,0
1000,pod_drzn,1763,450,0,0,0
1000,pod_drzn,1764,560,0,0,0
1000,pod_dnjwc,1722,220,0,0,0
1000,pod_dnjwc,1723,54,0,0,0
1000,pod_dnjwc,1731,594,0,0,0
1000,pod_dnjwc,1733,312,0,0,0
1000,pod_dnjwc,1734,391,0,0,0
1000,pod_dnjwc,1737,574,0,0,0
1000,pod_dnjwc,1744,136,0,0,0
1000,pod_dnjwc,1748,532,0,0,0
1000,pod_dnjwc,1749,932,0,0,0
1000,pod_dnjwc,1753,991,0,0,0
1000,pod_dnjwc,1754,775,0,0,0
1000,pod_dnjwc,1755,810,0,0,0
1000,pod_dnjwc,1757,862,0,0,0
1000,pod_dnjwc,1758,870,0,0,0
1000,pod_dnjwc,1760,1000,0,0,0
1000,pod_dnjwc,1761,1005,0,0,0
1000,pod_dnjwc,1763,1000,0,0,0
1000,pod_dnjwc,1764,1140,0,0,0
1000,pod_dωwngrd,1722,167,0,0,0
1000,pod_dωwngrd,1725,160,0,0,0
1000,pod_dωwngrd,1727,206,0,0,0
1000,pod_dωwngrd,1728,180,0,0,0
1000,pod_dωwngrd,1729,211,0,0,0
1000,pod_dωwngrd,1731,110,0,0,0
1000,pod_dωwngrd,1732,110,0,0,0
1000,pod_dωwngrd,1733,120,0,0,0
1000,pod_dωwngrd,1734,137,0,0,0
1000,pod_dωwngrd,1736,120,0,0,0
1000,pod_dωwngrd,1737,104,0,0,0
1000,pod_dωwngrd,1738,100,0,0,0
1000,pod_dωwngrd,1741,80,0,0,0
1000,pod_dωwngrd,1744,106,0,0,0
1000,pod_dωwngrd,1745,105,0,0,0
1000,pod_dωwngrd,1746,120,0,0,0
1000,pod_dωwngrd,1752,88,0,0,0
1000,pod_dωwngrd,1753,80,0,0,0
1000,pod_dωwngrd,1754,90,0,0,0
1000,pod_dωwngrd,1755,93,0,0,0
1000,pod_dωwngrd,1757,110,0,0,0
1000,pod_dωwngrd,1758,129,0,0,0
1000,pod_dωwngrd,1760,150,0,0,0
1000,pod_dωwngrd,1761,159,0,0,0
1000,pod_dωwngrd,1762,170,0,0,0
1000,pod_dωwngrd,1763,150,0,0,0
1000,pod_dωwngrd,1764,176,0,0,0
1000,pod_flsztyn,1722,130,0,0,0
1000,pod_flsztyn,1723,199,0,0,0
1000,pod_flsztyn,1726,150,0,0,0
1000,pod_flsztyn,1727,300,0,0,0
1000,pod_flsztyn,1728,300,0,0,0
1000,pod_flsztyn,1729,340,0,0,0
1000,pod_flsztyn,1731,170,0,0,0
1000,pod_flsztyn,1732,340,0,0,0
1000,pod_flsztyn,1733,351,0,0,0
1000,pod_flsztyn,1734,262,0,0,0
1000,pod_flsztyn,1736,50,0,0,0
1000,pod_flsztyn,1738,300,0,0,0
1000,pod_flsztyn,1741,273,0,0,0
1000,pod_flsztyn,1744,335,0,0,0
1000,pod_flsztyn,1745,280,0,0,0
1000,pod_flsztyn,1746,398,0,0,0
1000,pod_flsztyn,1747,400,0,0,0
1000,pod_flsztyn,1748,286,0,0,0
1000,pod_flsztyn,1749,300,0,0,0
1000,pod_flsztyn,1751,355,0,0,0
1000,pod_flsztyn,1752,363,0,0,0
1000,pod_flsztyn,1753,391,0,0,0
1000,pod_flsztyn,1754,371,0,0,0
1000,pod_flsztyn,1755,383,0,0,0
1000,pod_flsztyn,1757,342,0,0,0
1000,pod_flsztyn,1758,360,0,0,0
1000,pod_flsztyn,1760,421,0,0,0
1000,pod_flsztyn,1761,480,0,0,0
1000,pod_flsztyn,1762,250,0,0,0
1000,pod_flsztyn,1763,320,0,0,0
1000,pod_flsztyn,1764,360,0,0,0
1000,pod_grdk,1721,230,0,0,0
1000,pod_grdk,1722,257,0,0,0
1000,pod_grdk,1726,450,0,0,0
1000,pod_grdk,1727,550,0,0,0
1000,pod_grdk,1728,550,0,0,0
1000,pod_grdk,1729,550,0,0,0
1000,pod_grdk,1731,550,0,0,0
1000,pod_grdk,1737,584,0,0,0
1000,pod_grdk,1738,684,0,0,0
1000,pod_grdk,1741,588,0,0,0
1000,pod_grdk,1746,642,0,0,0
1000,pod_grdk,1747,700,0,0,0
1000,pod_grdk,1748,534,0,0,0
1000,pod_grdk,1749,560,0,0,0
1000,pod_grdk,1751,700,0,0,0
1000,pod_grdk,1752,778,0,0,0
1000,pod_grdk,1754,484,0,0,0
1000,pod_grdk,1755,506,0,0,0
1000,pod_grdk,1760,622,0,0,0
1000,pod_grdk,1761,630,0,0,0
1000,pod_grdk,1762,660,0,0,0
1000,pod_grdk,1763,460,0,0,0
1000,pod_grdk_n_dnstr,1747,48,0,0,0
1000,pod_grdk_n_dnstr,1748,48,0,0,0
1000,pod_grdk_n_dnstr,1749,48,0,0,0
1000,pod_grdk_n_dnstr,1751,48,0,0,0
1000,pod_grdk_n_dnstr,1752,62,0,0,0
1000,pod_grdk_n_dnstr,1753,60,0,0,0
1000,pod_grdk_n_dnstr,1755,82,0,0,0
1000,pod_grdk_n_dnstr,1757,82,0,0,0
1000,pod_grdk_n_dnstr,1758,84,0,0,0
1000,pod_hstyn,1721,856,0,0,0
1000,pod_hstyn,1722,200,0,0,0
1000,pod_hstyn,1723,64,0,0,0
1000,pod_hstyn,1725,650,0,0,0
1000,pod_hstyn,1726,650,0,0,0
1000,pod_hstyn,1728,550,0,0,0
1000,pod_hstyn,1729,603,0,0,0
1000,pod_hstyn,1731,500,0,0,0
1000,pod_hstyn,1733,480,0,0,0
1000,pod_hstyn,1734,537,0,0,0
1000,pod_hstyn,1736,150,0,0,0
1000,pod_hstyn,1737,481,0,0,0
1000,pod_hstyn,1738,460,0,0,0
1000,pod_hstyn,1741,501,0,0,0
1000,pod_hstyn,1744,680,0,0,0
1000,pod_hstyn,1745,761,0,0,0
1000,pod_hstyn,1752,950,0,0,0
1000,pod_hstyn,1757,794,0,0,0
1000,pod_hstyn,1758,799,0,0,0
1000,pod_hstyn,1760,900,0,0,0
1000,pod_hstyn,1761,900,0,0,0
1000,pod_hstyn,1762,900,0,0,0
1000,pod_hstyn,1763,900,0,0,0
1000,pod_hstyn,1764,1000,0,0,0
1000,pod_jglnc,1720,216,0,0,0
1000,pod_jglnc,1721,300,0,0,0
1000,pod_jglnc,1722,250,0,0,0
1000,pod_jglnc,1723,32,0,0,0
1000,pod_jglnc,1725,215,0,0,0
1000,pod_jglnc,1727,320,0,0,0
1000,pod_jglnc,1728,284,0,0,0
1000,pod_jglnc,1729,333,0,0,0
1000,pod_jglnc,1731,352,0,0,0
1000,pod_jglnc,1732,233,0,0,0
1000,pod_jglnc,1733,378,0,0,0
1000,pod_jglnc,1734,400,0,0,0
1000,pod_jglnc,1736,320,0,0,0
1000,pod_jglnc,1737,335,0,0,0
1000,pod_jglnc,1738,440,0,0,0
1000,pod_jglnc,1741,350,0,0,0
1000,pod_jglnc,1743,342,0,0,0
1000,pod_jglnc,1744,355,0,0,0
1000,pod_jglnc,1751,340,0,0,0
1000,pod_jglnc,1752,383,0,0,0
1000,pod_jglnc,1757,345,0,0,0
1000,pod_jglnc,1758,378,0,0,0
1000,pod_jglnc,1760,422,0,0,0
1000,pod_jglnc,1761,428,0,0,0
1000,pod_jglnc,1762,450,0,0,0
1000,pod_jglnc,1763,460,0,0,0
1000,pod_jglnc,1764,540,0,0,0
1000,pod_jnw,1745,155,0,0,0
1000,pod_jrmlnc,1720,52,0,0,0
1000,pod_jrmlnc,1722,114,0,0,0
1000,pod_jrmlnc,1723,155,0,0,0
1000,pod_jrmlnc,1724,168,0,0,0
1000,pod_jrmlnc,1728,100,0,0,0
1000,pod_jrmlnc,1729,170,0,0,0
1000,pod_jrmlnc,1732,180,0,0,0
1000,pod_jrmlnc,1736,150,0,0,0
1000,pod_jrmlnc,1737,208,0,0,0
1000,pod_jrmlnc,1738,240,0,0,0
1000,pod_jrmlnc,1741,300,0,0,0
1000,pod_jrmlnc,1743,380,0,0,0
1000,pod_jrmlnc,1745,336,0,0,0
1000,pod_jrmlnc,1747,300,0,0,0
1000,pod_jrmlnc,1751,280,0,0,0
1000,pod_jrmlnc,1752,176,0,0,0
1000,pod_jrh,1724,117,0,0,0
1000,pod_jrh,1725,100,0,0,0
