table,name,viv,index,kalik_id,newname,lon,lat
401,niegow,maz,maz_ngw,679,"",21.3833333333333,52.5166666666667
703,ostrowiec,snd,snd_strwc,983,"",21.3856395114783,50.9393127567377
605,rozan,maz,maz_rzn,847,"",21.3998114202246,52.8840772315061
802,osieck,maz,maz_sck,1061,"",21.41666667,51.96666667
703,mielec,snd,snd_mlc,980,"",21.4209311197436,50.2873986608467
703,opatow,snd,snd_ptw,982,"",21.422655309602,50.8001856707047
100,debica,snd,snd_dbc,2,"",21.4276119355814,50.0462665069964
803,ryczywol,snd,snd_ryczywl,1093,"",21.4373268428229,51.6845460072119
703,klimontow,snd,snd_klmntw,976,"",21.4518960157239,50.6559576484049
701,jaslo,krk,krk_jsl,928,"",21.46666667,49.75
803,kazanow,snd,snd_kznw,1084,"",21.46666667,51.28333333
703,sienno,snd,snd_snn,993,"",21.4709941275857,51.0850678440196
803,sienno,snd,snd_snn,1095,"",21.4709941275857,51.0850678440196
703,przeclaw,snd,snd_przclw,988,"",21.4792277026127,50.1938329236188
802,kolbiel,maz,maz_klbl,1055,"",21.48333333,52.06666667
703,rzochow,snd,snd_rzchw,991,"",21.4908336710324,50.2408876975438
802,magnuszew,maz,maz_mgnszw,1058,"",21.4,51.76666667
701,zmigrod,krk,krk_zmgrd,955,"",21.5333333333333,49.6
703,baranow,snd,snd_brnw,967,"",21.5414977540724,50.5004085132082
803,kozienice,snd,snd_kznc,1087,"",21.5579433009543,51.5868273248648
802,maciejowice,maz,maz_mcjwc,1057,"",21.55,51.7
401,kamienczyk,maz,maz_kmnczyk,664,"",21.55,52.6
803,ciepelow,snd,snd_cplw,1079,"",21.5666666666667,51.25
802,kobylnica,maz,maz_kbylnc,1054,"",21.5666666666667,51.65
401,minsk_mazowiecki,maz,maz_mnsk_mzwck,666,"",21.56666667,52.18333333
802,minsk_mazowiecki,maz,maz_mnsk_mzwck,1059,"",21.56666667,52.18333333
803,zwolen,snd,snd_zwln,1105,"",21.5753909640079,51.3588170648557
301,goworowo,maz,maz_gwrw,621,"",21.5818773205469,52.894083303342
401,goworowo,maz,maz_gwrw,662,"",21.5818773205469,52.894083303342
401,wolka_brzezinska,maz,maz_wlk_brzznsk,673,"",21.5818773205469,52.894083303342
200,frysztak,snd,snd_frysztk,610,"",21.608879143114,49.8369870766933
200,ropczyce,snd,snd_rpczyc,614,"",21.6094127251689,50.0518921131857
200,wielopole,snd,snd_wlpl,619,"",21.6132339356438,49.9447446076232
401,siennica,maz,maz_snnc,678,"",21.61666667,52.1
802,garwolin,maz,maz_grwln,1050,"",21.63333333,51.9
401,jadow,maz,maz_jdw,676,"",21.63333333,52.46666667
703,ozarow,snd,snd_zrw,1008,"",21.6668804063832,50.8882330453796
703,dzikow,snd,snd_dzkw,971,"",21.6735694930518,50.5736530266283
802,parysow,maz,maz_prysw,1073,"",21.68333333,51.96666667
401,dobre,maz,maz_dbr,675,"",21.68333333,52.33333333
701,dukla,krk,krk_dkl,925,"",21.6860257240549,49.554219626069
401,wasewo,maz,maz_wsw,670,"",21.6957285783508,52.867501221041
802,laskarzew,maz,maz_lskrzw,1071,"",21.6,51.7833333333333
703,tarlow,snd,snd_trlw,998,"",21.7132390454284,51.0009790136628
802,letow,maz,maz_ltw,1072,"",21.7166666666667,51.9166666666667
301,troszyn,maz,maz_trszyn,634,"",21.7333333333333,53.0333333333333
703,sandomierz,snd,snd_sndmrz,992,"",21.7482642326869,50.6802248969709
803,solec_on_vistula,snd,snd_slc_n_vstl,1098,"",21.76666667,51.13333333
703,kolbuszowa,snd,snd_klbszw,977,"",21.7761474438178,50.243292222219
803,stezyca,snd,snd_stzyc,1099,"",21.78333333,51.58333333
200,strzyzow,snd,snd_strzyzw,618,"",21.7865751959357,49.8692737782343
200,sedrzyszow,snd,snd_sdrzyszw,617,"",21.7,50.0666666666667
703,janikow,snd,snd_jnkw,975,"",21.7,50.8666666666667
401,kaluszyn,maz,maz_klszyn,663,"",21.8028486041197,52.2091992195937
803,gniewoszow,snd,snd_gnwszw,1082,"",21.8044863747558,51.4749465140026
803,granica,snd,snd_grnc,1080,"",21.82455180056,51.4686331015864
803,miastkow,snd,snd_mstkw,1089,"",21.8333333333333,51.8833333333333
200,czudec,snd,snd_czdc,609,"",21.838794618623,49.9464065187548
703,zawichost,snd,snd_zwchst,1001,"",21.85,50.8
803,zawichost,snd,snd_zwchst,1104,"",21.85,50.8
301,kleczkowo,maz,maz_klczkw,625,"",21.85,53.05
801,rachow,lbl,lbl_rchw,1026,"",21.8618682913268,50.8851683518799
301,nowogrod,maz,maz_nwgrd,628,"",21.86666667,53.23333333
803,janowiec,snd,snd_jnwc,1083,"",21.8961413933183,51.3228180845571
401,ostrow_mazowiecka,maz,maz_strw_mzwck,667,"",21.8969812839418,52.7984870290779
802,latowicz,maz,maz_ltwcz,1056,"",21.8,52.0333333333333
803,zelechow,snd,snd_zlchw,1108,"",21.9008132375521,51.8057849041063
401,stoczek,maz,maz_stczk,669,"",21.9025828281132,52.5450857101926
801,seroczyn,lbl,lbl_srczyn,1044,"",21.9166666666667,52.0166666666667
803,ryki,snd,snd_ryk,1094,"",21.93333333,51.63333333
803,bobrowniki,snd,snd_bbrwnk,1078,"",21.9360311567662,51.5500981138661
607,bojanow,pzn,pzn_bjnw,866,"",,
801,radomysl,lbl,lbl_rdmysl,1043,"",21.95,50.6833333333333
801,wodynie,lbl,lbl_wdyn,1028,"",21.95,52.0333333333333
200,glogow,snd,snd_glgw,611,"",21.9644452586563,50.1506787422238
401,liw,maz,maz_lw,677,"",21.96666667,52.38333333
801,opole,lbl,lbl_pl,1023,"",21.9797940570869,51.1533763334861
801,wlostowice,lbl,lbl_wlstwc,1029,"",21.9820471501506,51.4046111541266
200,rzeszow,rus,rus_rzszw,616,"",21.9927683044083,50.0333357013252
200,niebylec,snd,snd_nbylc,613,"",21.9,49.86666667
200,tyczyn,rus,rus_tyczyn,620,"",22.0191399570457,49.9625356086967
402,wegrow,pdl,pdl_wgrw,684,"",22.0228060172178,52.3963946953898
900,rozwadow,snd,snd_rzwdw,1115,"",22.0452193378143,50.5914562600578
801,konskowola,lbl,lbl_knskwl,1038,"",22.0601597623997,51.4050063512998
801,zaklikow,lbl,lbl_zklkw,1047,"",22.1003542190583,50.757270668121
1100,izdebki,rus,rus_zdbk,131,"",22.1166666666667,49.75
703,sokolow,snd,snd_sklw,994,"",22.1166666666667,50.2333333333333
402,mokobody,pdl,pdl_mkbdy,685,"",22.1179016452034,52.2692260251658
401,zareby,maz,maz_zrby,671,"",22.1232973219718,52.7491093681494
401,zareby_koscielne,maz,maz_zrby_kscln,672,"",22.1232973219718,52.7491093681494
1100,sokolow,rus,rus_sklw,152,"",22.1300552615046,50.2239557820259
1203,sokolow,rus,lww_sklw,343,"",,
801,wawelnica,lbl,lbl_wwlnc,1046,"",22.15,51.3
402,kosow_lacki,pdl,pdl_ksw_lck,681,"",22.1612071701251,52.5921703265756
301,stawiski,maz,maz_stwsk,632,"",22.165308314201,53.3706577447029
1100,dydnia,rus,rus_dydn,123,"",22.1666666666667,49.6833333333333
801,kurow,lbl,lbl_krw,1019,"",22.1954279453548,51.3963120125894
200,blazow,rus,rus_blzw,608,"",22.1,49.8833333333333
801,krasnik,lbl,lbl_krsnk,1020,"",22.2252944668201,50.910897387666
