table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1100,rus_plsk_knczg,145,przemysl,przmysl,Autonomous,przemysl,340,22.41666667,49.98333333,""
1100,rus_prchnk,146,przemysl,przmysl,Autonomous,przemysl,310,22.51228709487,49.9065297870308,""
1100,rus_przwrsk,147,przemysl,przmysl,Autonomous,przemysl,1705,22.495735258181,50.0623245222614,""
1100,rus_rdymn,148,przemysl,przmysl,Autonomous,przemysl,130,22.83333333,49.95,""
1100,rus_rybtycz,149,przemysl,przmysl,Autonomous,przemysl,100,22.6440835588608,49.6555547118457,""
1100,rus_sdw,150,przemysl,przmysl,Autonomous,przemysl,270,,,""
1100,rus_smbr,151,przemysl,przmysl,Autonomous,przemysl,740,23.1916205576575,49.5119098625276,""
1100,rus_ssnc,153,przemysl,przmysl,Autonomous,przemysl,100,22.6666666666667,49.9666666666667,""
1100,rus_stnslwczyk,154,przemysl,przmysl,Autonomous,przemysl,40,24.9204940009383,50.1631001278898,""
1100,rus_strsl,155,przemysl,przmysl,Autonomous,przemysl,200,22.9666666666667,49.4833333333333,""
1100,rus_stry_smbr,156,przemysl,przmysl,Autonomous,przemysl,260,23.0087818959958,49.4320362635312,""
1100,rus_szmn,157,przemysl,przmysl,Autonomous,przemysl,50,22.9333333333333,49.5,""
1100,rus_trnw,158,przemysl,przmysl,Autonomous,przemysl,80,22.8,49.55,""
1100,rus_trk_w_grch,159,przemysl,przmysl,Autonomous,przemysl,600,23.03333333,49.15,""
1100,rus_wlw,160,przemysl,przmysl,Autonomous,przemysl,80,,,""
1100,blz_wlk_czy,161,przemysl,przmysl,Autonomous,przemysl,500,23.1593464476978,50.0134945736297,""
1100,rus_wszn,162,przemysl,przmysl,Autonomous,przemysl,0,23.3666666666667,49.7833333333333,""
1100,rus_wysztyc,163,przemysl,przmysl,Autonomous,przemysl,70,22.8833333333333,49.8333333333333,""
1100,rus_ttls,,przemysl,przmysl,Autonomous,przemysl,21793,,,""
1100,rus_twrz,164,przemysl,przmysl,Autonomous,przemysl,120,23.2333333333333,49.8,""
1100,rus_strzyk,165,przemysl,przmysl,Autonomous,przemysl,220,22.5833333333333,49.4333333333333,""
1100,rus_wtln,166,przemysl,przmysl,Autonomous,przemysl,400,22.8166666666667,50,""
1100,rus_lnct,167,przemysl,przmysl,Autonomous,przemysl,280,22.2335999054101,50.0746711669128,""
1100,rus_krsczyn,168,przemysl,przmysl,Autonomous,przemysl,60,22.6599399449126,49.7709885240422,""
1100,rus_klcz_nklwck,169,przemysl,przmysl,Autonomous,przemysl,50,,,""
1100,rus_mnstrz,170,przemysl,przmysl,Autonomous,przemysl,100,22.6666666666667,50.1166666666667,""
1100,rus_zln,171,przemysl,przmysl,Autonomous,przemysl,219,23.7666666666667,49.1833333333333,""
1201,brc_brszd,172,rus,rs,Rus,rus_brc_kij_pod,0,29.5106645652708,48.3653417998653,""
1201,kij_brszczjwk,173,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,brc_bswk,174,rus,rs,Rus,rus_brc_kij_pod,0,30.6333333333333,49.2333333333333,""
1201,kij_brclw,175,rus,rs,Rus,rus_brc_kij_pod,0,28.9250894287188,48.8222842841435,""
1201,kij_brlw,176,rus,rs,Rus,rus_brc_kij_pod,0,28.1495736322789,49.1189899552346,""
1201,kij_cknwk,177,rus,rs,Rus,rus_brc_kij_pod,0,28.3166666666667,48.15,""
1201,kij_chszjwk,178,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_chmlnk,179,rus,rs,Rus,rus_brc_kij_pod,0,27.95,49.55,""
1201,kij_chwszczw,180,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_czklnk,181,rus,rs,Rus,rus_brc_kij_pod,0,29.3667,48.2167,Chechelnyk
1201,kij_czrnjwc,182,rus,rs,Rus,rus_brc_kij_pod,0,28.1166666666667,48.5333333333333,""
1201,kij_dszw,183,rus,rs,Rus,rus_brc_kij_pod,0,29.412887567286,49.0082710774274,""
1201,kij_dznkw,184,rus,rs,Rus,rus_brc_kij_pod,0,29.4410383064258,49.4538982937316,""
1201,kij_dωwngrdk,185,rus,rs,Rus,rus_brc_kij_pod,0,29.45,49.45,Dzyunkiv
1201,kij_glgrz,186,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_grnw,187,rus,rs,Rus,rus_brc_kij_pod,0,29.5667,48.8667,Hraniv
1201,kij_grygrycz,188,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_grnwc,189,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_hjsn,190,rus,rs,Rus,rus_brc_kij_pod,0,29.4,48.8,Haysyn
1201,kij_lnc,191,rus,rs,Rus,rus_brc_kij_pod,0,29.2253143105871,49.1069011372157,""
1201,kij_jhrlk,192,rus,rs,Rus,rus_brc_kij_pod,0,29.15,47.3666666666667,""
1201,kij_jnw,194,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_jzfgrd,195,rus,rs,Rus,rus_brc_kij_pod,0,29.6219444444444,47.94,balta
1201,kij_klnk,196,rus,rs,Rus,rus_brc_kij_pod,0,29.3833333333333,49.0333333333333,""
