id,name_16c,year,livestock_horses,livestock_sheep
Peczelice_wsl_snd,Pęczelice,1577,,""
Peczelice_wsl_snd,Pęczelice,1577,,""
Dobrowoda_wsl_snd,Dobrowoda,1577,,""
Olganow_wsl_snd,Olganów,1577,,""
Baranow_wsl_snd,Baranów,1577,,""
Radzanow_dob_wsl_snd,Radzanów,1577,,""
Kikow_wsl_snd,Kików,1577,,""
Gadawa_wsl_snd,Gadawa,1577,,""
Piasek_Wielki_wsl_snd,Piasek Wielki,1577,,""
Zagajow_pia_wsl_snd,Zagajów,1577,,""
Solec_wsl_snd,Solec,1577,,""
Zukow_wsl_snd,Żuków,1577,,""
Piasek_Maly_wsl_snd,Piasek Mały,1577,,""
Welnin_wsl_snd,Wełnin,1577,,""
Janow_wsl_snd,Janów,1577,,""
Zborow_wsl_snd,Zborów,1577,,""
Wlosinowice_wsl_snd,Włosinowice,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Parchocin_wsl_snd,Parchocin,1577,,""
Ostrowce_wsl_snd,Ostrowce,1577,,""
Pawlow_wsl_snd,Pawłów,1577,,""
Brzeskow_wsl_snd,Brzesków,1577,,""
Gorna_Wola_wsl_snd,Górna Wola,1577,,""
Hynkow_wsl_snd,Hynków,1577,,""
Zagorzany_wsl_snd,Zagórzany,1577,,""
Zegocin_wsl_snd,Żegocin,1577,,""
Blotna_Wola_wsl_snd,Błotna Wola,1577,,""
Strozyska_wsl_snd,Strożyska,1577,,""
Biedrzychowice_wsl_snd,Biedrzychowice,1577,,""
Gorki_wsl_snd,Górki,1577,,""
Sepichow_wsl_snd,Sępichów,1577,,""
Szczobakow_wsl_snd,Szczobaków,1577,,""
Szczytniki_str_wsl_snd,Szczytniki,1577,,""
Ucieszkow_wsl_snd,Ucieszków,1577,,""
Kocina_wsl_snd,Kocina,1577,,""
Korczyn_Stary_wsl_snd,Korczyn Stary,1577,,""
Hubenice_wsl_snd,Hubenice,1577,,""
Winary_wsl_snd,Winary,1577,,""
Grotniki_wsl_snd,Grotniki,1577,,""
Czarnkow_Wielki_wsl_snd,Czarnków Wielki,1577,,""
Zukowice_wsl_snd,Żukowice,1577,,""
Zukowice_wsl_snd,Żukowice,1577,,""
Czarnkow_Maly_wsl_snd,Czarnków Mały,1577,,""
Sedzislawice_wsl_snd,Sędzisławice,1577,,""
Ksany_wsl_snd,Ksany,1577,,""
Leka_wsl_snd,Łęka,1577,,""
Biskupice_wsl_snd,Biskupice,1577,,""
Paluszyce_wsl_snd,Pałuszyce,1577,,""
Paluszyce_wsl_snd,Pałuszyce,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Topola_wsl_snd,Topola,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Uscie_wsl_snd,Uście,1577,,""
Uscie_wsl_snd,Uście,1577,,""
Chwalibogowice_wsl_snd,Chwalibogowice,1577,,""
Krasniow_wsl_snd,Kraśniów,1577,,""
Urzuty_wsl_snd,Urzuty,1577,,""
Rzemienowice_wsl_snd,Rzemienowice,1577,,""
Pruska_wsl_snd,Pruska,1577,,""
Mistrzowice_wsl_snd,Mistrzowice,1577,,""
Kobiela_wsl_snd,Kobiela,1577,,""
Wyszogrod_wsl_snd,Wyszogród,1577,,""
Kesow_wsl_snd,Kęsów,1577,,""
Chrostowice_wsl_snd,Chrostowice,1577,,""
Rogow_wsl_snd,Rogów,1577,,""
Bejsce_wsl_snd,Bejsce,1577,,""
Piotrkowice_wsl_snd,Piotrkowice,1577,,""
Grodowice_wsl_snd,Grodowice,1577,,""
Krolewice_wsl_snd,Królewice,1577,,""
Krolewice_wsl_snd,Królewice,1577,,""
Usciszowice_wsl_snd,Uściszowice,1577,,""
Sokolina_wsl_snd,Sokolina,1577,,""
Dembiany_wsl_snd,Dembiany,1577,,""
Krzczonow_wsl_snd,Krzczonów,1577,,""
Krzczonow_wsl_snd,Krzczonów,1577,,""
Kamiona_wsl_snd,Kamiona,1577,,""
Bedziaki_wsl_snd,Będziaki,1577,,""
Charzowice_wsl_snd,Charzowice,1577,,""
Kolosy_wsl_snd,Kolosy,1577,,""
Kostrzeszyn_wsl_snd,Kostrzeszyn,1577,,""
Kazimierza_Mala_wsl_snd,Kazimierza Mała,1577,,""
Stropieszyn_wsl_snd,Stropieszyn,1577,,""
Mikolajow_wsl_snd,Mikołajów,1577,,""
Zagajow_wsl_snd,Zagajów,1577,,""
Zbilitowice_wsl_snd,Zbilitowice,1577,,""
Zieblice_wsl_snd,Zięblice,1577,,""
Zieblice_wsl_snd,Zięblice,1577,,""
Zieblice_wsl_snd,Zięblice,1577,,""
Zagorzyce_kaz_wsl_snd,Zagórzyce,1577,,""
Jakuszowice_Male_wsl_snd,Jakuszowice Małe,1577,,""
Jakuszowice_Wielkie_wsl_snd,Jakuszowice Wielkie,1577,,""
Broniszow_wsl_snd,Broniszów,1577,,""
Gabultow_wsl_snd,Gabułtów,1577,,""
Mlogolice_wsl_snd,Młogolice,1577,,""
Czarnocin_wsl_snd,Czarnocin,1577,,""
Koryto_wsl_snd,Koryto,1577,,""
Budziszowice_wsl_snd,Budziszowice,1577,,""
Mekarzowice_wsl_snd,Mękarzowice,1577,,""
Mekarzowice_wsl_snd,Mękarzowice,1577,,""
Swoszowice_wsl_snd,Swoszowice,1577,,""
Probolowice_wsl_snd,Probołowice,1577,,""
Soboszow_wsl_snd,Soboszów,1577,,""
Cieszkowy_wsl_snd,Cieszkowy,1577,,""
Miernow_wsl_snd,Miernów,1577,,""
Pelczyska_wsl_snd,Pełczyska,1577,,""
Biskupice_pel_wsl_snd,Biskupice,1577,,""
Stawiszyce_wsl_snd,Stawiszyce,1577,,""
Niegoslawice_pel_wsl_snd,Niegosławice,1577,,""
Zlota_Wielka_wsl_snd,Złota Wielka,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Stradow_wsl_snd,Stradów,1577,,""
Michalowice_wsl_snd,Michałowice,1577,,""
Milawczyce_wsl_snd,Miławczyce,1577,,""
Mlodzawy_Male_wsl_snd,Młodzawy Małe,1577,,""
Mlodzawy_Male_wsl_snd,Młodzawy Małe,1577,,""
Mlodzawy_Male_wsl_snd,Młodzawy Małe,1577,,""
Mlodzawy_Wielkie_wsl_snd,Młodzawy Wielkie,1577,,""
Kozubow_wsl_snd,Kozubów,1577,,""
Zakrzow_wsl_snd,Zakrzów,1577,,""
Chroberz_wsl_snd,Chroberz,1577,,""
Zawarza_wsl_snd,Zawarza,1577,,""
Wola_Chroberska_wsl_snd,Wola Chroberska,1577,,""
Rudawa_wsl_snd,Rudawa,1577,,""
Wojslawice_wsl_snd,Wojsławice,1577,,""
Zagorzyce_wsl_snd,Zagórzyce,1577,,""
Nieprowice_wsl_snd,Nieprowice,1577,,""
Nieprowice_wsl_snd,Nieprowice,1577,,""
Mozgawa_wsl_snd,Mozgawa,1577,,""
Mozgawa_wsl_snd,Mozgawa,1577,,""
Jurkow_wsl_snd,Jurków,1577,,""
Zorawniki_wsl_snd,Żórawniki,1577,,""
Kije_wsl_snd,Kije,1577,,""
Samostrzalow_wsl_snd,Samostrzałów,1577,,""
