,Kahal,name,pepole,childs,,,,
v,Miasto Nadworna,Mołotków,3,,,,,
v,Miasto Nadworna,Hwod,9,2,,,,
v,Miasto Nadworna,Łanczyn,7,,,,,
v,Miasto Nadworna,Kraśniany,9,1,,,,
v,Miasto Nadworna,Maniowa,12,,,,,
v,Miasto Nadworna,Krasne,8,,,,,
v,Miasto Nadworna,Cucylów,13,,,,,
v,Miasto Nadworna,Nazawirów,12,1,,,,
v,Miasto Nadworna,Sadzawa,6,,,,,
v,Miasto Nadworna,Osławy,5,,,,,
v,Miasto Nadworna,Białosławy,5,,,,,
v,Miasto Nadworna,Strymblany,6,,,,,
v,Miasto Nadworna,Pniów,13,,,,,
v,Miasto Nadworna,Bytków,6,,,,,
v,Miasto Nadworna,Zielone,5,,,,,
v,Miasto Nadworna,Tek inki,5,,,,,
v,Miasto Nadworna,Berezów,6,,,,,
v,Miasto Nadworna,Łuczki,7,,,,,
v,Miasto Nadworna,Parysce,6,,,,,
v,Miasto Nadworna,Czarny Potok,7,,,,,
v,Miasto Nadworna,Tarnawica,9,,,,,
v,Miasto Nadworna,Pasieczne,9,,,,,
v,Miasto Nadworna,Delatyn,87,5,,,,
v,Miasto Pistynia,,206,16,,,,
v,Miasto Pistynia,Utorop,11,1,,,,
v,Miasto Pistynia,Mikityńce,16,,,,,
v,Miasto Jabłonów czyli Stup-,,,,,,,
v,Miasto Jabłonów czyli Stup-,czatę,403,42,,,,
v,Miasto Jabłonów czyli Stup-,Stopczate,6,1,,,,
v,Miasto Jabłonów czyli Stup-,Kosmacz,5,1,,,,
v,Miasto Jabłonów czyli Stup-,Okryszory,7,1,,,,
v,Miasto Jabłonów czyli Stup-,Berezów Wyżny,6,1,,,,
v,Miasto Jabłonów czyli Stup-,Niżny,12,,,,,
v,Miasto Jabłonów czyli Stup-,Rongury,6,1,,,,
v,Miasto Jabłonów czyli Stup-,Kowalówka,6,1,,,,
v,Miasto Jabłonów czyli Stup-,Myszyn,13,1,,,,
v,Miasto Jabłonów czyli Stup-,Bania Świrska,3,,,,,
,Summa,,467,49,,,,
v,Miasto Kołomyja,,985,87,,,,
v,Miasto Kołomyja,Kniaźdwór,12,1,,,,
v,Miasto Kołomyja,Diadkowce,6,,,,,
v,Miasto Kołomyja,Piadyki,2,1,,,,
v,Miasto Kołomyja,Oskrzesince,6,,,,,
v,Miasto Kołomyja,Kurnice,13,2,,,,
v,Miasto Kołomyja,Spaś,4,,,,,
v,Miasto Kołomyja,Markowce,10,,,,,
v,Miasto Kołomyja,Cieniawa,4,,,,,
v,Miasto Kołomyja,Hanczarow,7,,,,,
v,Miasto Kołomyja,Delatyn,2,,,,,
v,Miasto Kołomyja,Osławy,4,,,,,
v,Miasto Kołomyja,Załucze,4,,,,,
v,Summa,,1059,91,,,,
v,Halicz Karaimi,,94,5,,,,
v,Miasto Halicz: bi Żydzi,,236,22,,,,
v,Miasto Halicz: bi Żydzi,Komarów,5,,,,,
v,Miasto Halicz: bi Żydzi,Sapohów,7,,,,,
v,Miasto Halicz: bi Żydzi,Bryn,4,,,,,
v,Miasto Halicz: bi Żydzi,Bednarów część Potockich,3,1,,,,
v,Miasto Halicz: bi Żydzi,Bednarów część JWP Józefa,,,,,,
v,Miasto Halicz: bi Żydzi,Drohomireckiego,2,,,,,
v,Miasto Halicz: bi Żydzi,Bednarów część OO Frań-,,,,,,
v,Miasto Halicz: bi Żydzi,ciszkanów,6,,,,,
v,Miasto Halicz: bi Żydzi,Maydan,4,,,,,
v,Miasto Halicz: bi Żydzi,Wysoczanka,5,,,,,
v,Miasto Halicz: bi Żydzi,Wiktorów,4,,,,,
v,Miasto Halicz: bi Żydzi,Podgrodzie,7,,,,,
v,Miasto Halicz: bi Żydzi,Kryłoś,3,,,,,
v,Miasto Halicz: bi Żydzi,Słobudka,10,1,,,,
v,Miasto Halicz: bi Żydzi,Karczma Węgłowska,6,,,,,
