Voivodeship,Powiat,Name,type,Pop,total,
Chelmno,,Pokrzywno,,43,,
Chelmno,,Plowez,,80,,
Chelmno,,Filow,,172,,
Chelmno,,Bratjan,,32,,
Chelmno,,In Wlewsk parish under Lidzbark,,34,,
Chelmno,,Szembruk in Rogozno Economy,,93,,
Chelmno,,Ciborz and Lidzbark,,21,,
,,,,,,
Malbork,,In the village of Brodzent in Kiszpork Starosty,,86,,
,,,,,,
Pomeranian,,"Kolnicz,Owidz and Barchnowy in Tczew Powiat",,300,2731,
Pomeranian,,Mosty to Klonowka in the same Powiat,,97,,
Pomeranian,,Wojtal seu Odry in the same Powiat,,35,,
Pomeranian,,Czluchow Suburb and village Ledyk,,419,,
Pomeranian,,Zarzecze village in Czluchow Powiat,,37,,
Pomeranian,,Malechin,,11,,in Tuchola
Pomeranian,,Hoppenbrug near Gdansk,,504,,
Pomeranian,,Chwarzienko in Tczew Powiat,,44,,
Pomeranian,,Grabowo and one farmer in Biale Starosty,,95,,
Pomeranian,,Koscierzyna Suburb,,43,,
Pomeranian,,Hamersztyn Suburb,,80,,
Pomeranian,,Tuchola and village Linsk,,64,,
Pomeranian,,Weinberg near Gdansk,,364,,
Pomeranian,,Kosnica village in Mirachow Powiat,,37,,
Pomeranian,,"Langforty,Heiligenbrun,in Gdansk Powiat",,230,,
Pomeranian,,Belnow in Swiecie Powiat,,51,,
Pomeranian,,Bukowiec in the same Powiat,,140,,
Pomeranian,,Bolszewo in Puck Powiat,,85,,
Pomeranian,,Grupa in Swiecie Powiat,,23,,
Pomeranian,,Bohlin in Nowe Powiat,,43,,
Pomeranian,,Osieecznie vel in Wielki Komor,,5,,
Pomeranian,,Village Krokow,,24,,
,,,,,,
Dobrzyn,,In the Dobrzyn,synagogue,757,1082,
Dobrzyn,,Lipno community,,58,,
Dobrzyn,,Kikol community,,102,,
Dobrzyn,,Radziki Jews,,165,,
,,,,,,
,,,,,,
Rus,Lwow,Lwow,with villages,6378,34630,
Rus,Lwow,Janow,with villages,244,,
Rus,Lwow,Jaworow,with villages,1055,,
Rus,Lwow,Zloczow,with villages,1656,,
Rus,Lwow,Zborow,with villages,800,,
Rus,Lwow,Gliniany,with villages,811,,
Rus,Lwow,Jaryczow,with villages,764,,
Rus,Lwow,Toporow,with villages,188,,
Rus,Lwow,Sokolowka,with villages,159,,
Rus,Lwow,Brody,with villages,6877,,
