cname,category
simon wilczijnski,3
frz. malewicz,3
mikal popplaski,3
kosm. lotoskij,3
sim. sdanowicz,3
martin kasolowski,3
jacob pankiewicz,3
waijz swisloskij,3
żendr. hrijniwiski,3
joh.cziehanowski,3
macieij buczinskij,3
wdowa jablonska,3
stanislaw jaruczewski,3
stanislaw poplawski,3
xtoph dremskij,3
jos cudoski,3
franz zawuckij,3
jan andrzejeski,3
leib hirsch,1
meijer aron,1
chaim marcus,1
zamieszkany przez wojsko,0
walpucki,3
david hillel,1
taube laie,1
samuel pinkus,1
eisac lewin,1
baer menke,1
hirsch baer,1
wdowa ester,1
chai hirsch,1
seelig lewin,1
mates jankel,1
bone chaim,1
joh. rohleder,4
ignaz suszijnski,3
bandorf,4
wdowa reijmann,4
sijlo hrijniewicki,3
wdowa barczijnski,3
malck,4
jos. radiszeski,3
von klingsporn,2
jacob dicka,4
kant,4
franz grzijwalski,3
wdowa kosloska,3
simon kosloska,3
johann kudrijck,4
bauer,4
maciej winierski,3
maceij sadoskij,3
szijm. niersciurski,3
maci. bindzigeski,3
wasenberg,4
dom parafialny i majętności św. rocha,0
goiel schau,4
sneider,4
marc garoroski,3
biegon,4
falk,1
jos. miliskij,3
hoijer,4
maccey paczkowski,3
peter kauffmann,4
rijkert,4
maciej daszkoski,3
franz malecki,3
michael petrikoski,3
andor,5
waijde,4
kollmann,4
adam zablocki,3
radicke,4
müller,4
basel borczeski,3
bened. wiarkewicz,3
gottlieb schultz,4
feibus marcus,1
simon isaac,1
isaac simon,1
schoennemann,4
carl berger,4
zimmerman,4
abraham schmerel,1
majewskij,3
aron abraham,1
gerson david,1
hexy,5
israel schlaum,1
schlegel,4
schlom joseph,1
rathke,4
denheiser,4
marx,4
schmel israel,1
boruch manashe,1
weck,4
czyż,3
chemje hirsch,1
chaim salomon,1
nochem peritz,1
elias lewin,1
jos. bublak,3
schlau leijser,1
lewin abraham,1
moses schlaum,1
hirsch isaak,1
leib salmon,1
josel gedalge,1
wolff lewin,1
leib david,1
mendel josel,1
moses leib,1
maijer marcus,1
david lewin,1
hirsch jankel,1
dan leijser,1
baer limcke,1
abraham moses,1
owsch. abraham,1
hesh,1
hirsch schabr,1
josel david,1
aron lewin,1
wolff calel,1
jankel hirsch,1
leib jankel,1
calel elias,1
hirsch aron,1
salomon nisson,1
elias hirsch,1
wolff israel,1
laubach,4
marcus hirsch,1
issac moses,1
borach david,1
kreuschner,4
wolff abram,1
nossen abraham,1
israel borach,1
feibel abraham,1
moses borach,1
marcus elias,1
israel moses,1
chanc josel,1
borach israel,1
samuel borach,1
gedal aron,1
schlom aron,1
salmon hirsch,1
marcus wolff,1
baer moses,1
jankel josel,1
abraham david,1
leib josel,1
chone hirsch,1
marcus chone,1
isaac elias,1
leijser falk,1
samuel vigdor,1
nochim lehrel,1
israel schlomm,1
selig marcus,1
kuschel nochim,1
david beretz,1
schinnc jankiel,1
zimmermann,4
abraham lewin,1
wdowa poltoraczka,3
macz. ratczkewicz,3
paul woronka,3
troschel,4
plett,4
daehring,4
george gresota,3
pioter pikarski,3
steph. naganoski,3
josel feibusch,1
cezachae elkon,1
aron simon,1
jankel lewin,1
marcus abraham,1
abraham scheine,1
owschaij seelig,1
lewin seelig,1
seelig marcus,1
koppel david,1
moses seelig,1
lewin david,1
alberti,4
kusare pelter,4
isaac hackel,1
jankel abraham,1
mendel elkon,1
wassensleben,4
pelett moses,1
josel jankel,1
abraham josel,1
issac josel,1
pawel samuel,1
moses lewin,1
esre lewin,1
isaac moses,1
meijer lewin,1
isaac schlomm,1
karol thurm,4
koppel borach,1
josel jacob,1
sigmuntowiz,3
gerson siemon,1
baer jeremias,1
ruben lewin,1
moses schaul,1
judel abraham,1
jankel borach,1
chaske isaac,1
borach jossel,1
salmon wolff,1
sorrach elias,1
wdowa wawrijniec,3
israel hillel,1
borach salomon,1
moses isaac,1
salomon wolff,1
feibusch siemon,1
wdowa phrichipowicz,3
fabian pikarski,3
martin kresota,3
simon pikarski,3
jankel schlomm,1
stanislaus kopiski,3
mikol burijnski,3
manee leib,1
tachel leib,1
nesson abraham,1
moses wolff,1
baer leijser,1
aron baer,1
baer levin,1
jos. baer,1
jone moses,1
schmul schlaum,1
elias schmul,1
hirsch hackel,1
baer aron,1
kalm hirsch,1
jakel meijer,1
elias leib,1
schie feibus,1
jankel issak,1
borach hirsch,1
jude borach,1
schachne hirsch,1
abel joseph,1
moses meijrim,1
baer jude,1
leib jude,1
naptanlij jude,1
wdowa baer,1
isaac chaim,1
issac abraham,1
salmon david,1
hirsch lewin,1
mendel moses,1
schlaum chaim,1
baer borach,1
radi faibusch,1
peisac isaac,1
schmul lewin,1
siemon leszkewicz,3
kudisch schmul,1
schapse kadisch,1
mendel elias,1
schmul elias,1
david hirsch,1
jankel leijser,1
leijser jacob,1
abram palter,1
abraham salomon,1
moses salmon,1
nisin nosen,1
mendel jankel,1
israel baer,1
maijer baer,1
david benjamin,1
eisac ruben,1
samuel gerson,1
isaac lewin,1
wdowa rachelschops,1
abram schmuel,1
georg jaroszewicz,3
beutelsbach,4
baer simon,1
isaac aron,1
moses meijer,1
lewin leijser,1
leib chone,1
oscher abraham,1
chone abram,1
thobias abram,1
lorenz gruczinski,3
baer falck,1
isaac jankel,1
josel schaie,1
anton drewnoskij,3
sperling,4
jan lacharias,3
jos. jarosczewicz,3
walesczuk,3
ratke,4
biackoski,3
leib henoch,1
wahrendorf,4
tobias leib,1
jeremias hirsch,1
abraham jankel,1
daniel jankel,1
jankel schmul,1
jos. borach,1
leijser lewin,1
dietrich,4
isaac marcus,1
abel jankel,1
meled israel,1
itzig hennoch,1
hirsch peisach,1
wolf benjamin,1
marcus abram,1
jankel abram,1
wolff isaac,1
daniel schlaum,1
moses jude,1
leijser abraham,1
salomon marcus,1
isaac samuel,1
lewin hirsch,1
baer hirsch,1
wdowa maczieijowa,3
dobrowolski,3
owschaij meijer,1
moses schmul,1
isaac schmul,1
tobias leijser,1
liepmann hirsch,1
jone schlaum,1
radcke,4
hirsch wolf,1
onschai hirsch,1
lewin moses,1
salmon chaim,1
david leib,1
hirsch leijser,1
simch lewin,1
hirsch david,1
wolff schlaum,1
moses josel,1
schaul baer,1
krieger,4
catel schlaum,1
leib calel,1
noseser meijer,1
abraham marcus,1
praesser,4
josel leijser,1
josel jude,1
lewin schaie,1
szlomskij,3
marcus moses,1
elias samuel,1
piaseckij,3
charisius,4
august star,4
salmon abram,1
abraham lange,1
seelig lange,1
ilka meijer,1
berja moses,1
lewin josel,1
reinhardt,4
jaks tein,4
schwagerius,4
schwagerius,4
siostry miłosierdzia,0
von metelski,2
mirus,4
dedekind,4
pequillhen,4
weiss,4
hadsche,4
hoenige,4
deheiss,4
matuckewicz,3
wilczewski,3
popławski,3
scheuba,4
maliczewicz,3
fiasellij,5
richter,4
schmidt,4
lipinski,3
casimir,3
kopka,4
stroij,4
treibleib,4
lange,4
michał jablonski,3
casp. czaczkowski,3
jacob michaelis,4
siemon jaworowski,3
andrée,4
hippel,4
von kaczerowski,2
stanislav von kaczerowskij,2
scholle,4
gebhardt,4
borrowski,3
von schulenburg,2
casper,4
bartol. praga,3
labesius,4
paul korbuth,3
terpitz,4
steph. kowalewski,3
wdowa pawelski,3
blaschek,4
mart. lukulski,3
schussler,4
mathis matlinski,3
bartricz,3
albert okraczinski,3
math. juchnitzki,3
pawel kowalewski,3
basilius lischewitz,3
kasimir kuszniewski,3
koeller,4
bartel. boijnowski,3
bratonius,5
anth. jendrzejewski,3
plock,4
wdowa chuchlinska,3
rentz,4
adam braga,3
marczin juchnitzki,3
v[on] hrieniewitzki,2
adam langhammer,4
johann holzenberg,4
mateus woijewietzki,3
gallwitz,4
mich. lewitzki,3
andr. lowicki,3
schultz,4
carl zaellner,4
paquilhen,4
filinus,5
martin richmann,4
holland,4
wdowa januschewskij,3
hausleiter,4
joh. schlaettcher,4
wdowa koslowska,3
folksdorff,4
schlik,4
laurentz borkowskij,3
haupt,4
ehlert,4
von czernich,2
georg fictulewicz,3
kunietzki,3
antoni herliczka,3
lüebeck,4
stanisl. szenerutzki,3
theodor antolewicz,3
bartel. wallewicz,3
jos. szinowka,3
adam sawitzkij,3
paul sawitzkij,3
thomas,4
back,4
adalbert zubritzki,3
wdowa kraine,4
frantz eliassowitz,3
wdowa kowarczisk,3
cass. czerniawski,3
heinrich frick,4
budynek przeznaczony na potrzeby szkoły,0
wdowa osmianka,3
eggerding,4
matheus woijtullewicz,3
celehrt,4
fabian woijtulewicz,3
johann bochm,4
malchaw,4
sziemann mankowski,3
chawinski,3
carol krupicki,3
szpital wojskowy,0
tomaczewski,3
benjamin kilscha,4
jos. jozobik,3
lorenz wilczinski,3
grzegor ostaszewski,3
carol ostarszewski,3
andr. zawacki,3
wdowa staszijnski,3
sim. korbut,3
mates guzowski,3
adalbert gakowski,3
adalbert sawicki,3
anton jackowski,3
von deheis,2
jacob kudinskij,3
adalbert kudinskij,3
stanislaus josobek,3
jacob rosalli,3
staphan paliczinskij,3
rawenée,4
ternau,4
luz,4
lietke,4
holtz,4
holobowitz,3
rosentreter,4
ochm,4
casp. jabloncka,3
spons,4
pissanski,3
von lassowski,2
peter lassowski,3
casper szupiński,3
von schimmelpfennig,2
jos. daskowski,3
jos. scheer,4
von ziegenhorn,2
botke,4
adler,4
ploger,4
kirste,4
lupinkiewitz,3
von mischakowski,2
sommer,4
gerlach,4
heyn,4
erdmann,4
fitzenreuter,4
kaellner,4
dachs,4
fornes,4
koli,5
attens,4
schlicht,4
waase,4
klutmann,4
doneit,4
appelbaum,4
stephani,4
wolff,4
rojal,4
krebs,4
badendorff,4
leschner,4
mesner,4
perlett,4
habbel,4
wienskowski,3
lornow,4
jankowski,3
schwemschultz,4
meissner,4
schumann,4
gregronius,4
właściciel mieszka pod nr,0
właściciel zamieszkały pod nr,0
pelet moses ad,1
drugi dom do nr,0
