name,table,community,community_code,land,table_title,table_abbr,voivodeship,index,potential,year,value,villages_value,near_value,geometry
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1758,1107,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1760,1935,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1761,1540,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1762,2051,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1763,423,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1764,30,0,620,2512670.44114656|6666133.30945296
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1721,1200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1722,1390,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1723,1200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1724,1200,0,0,2536420.13256192|6797290.30143852
